"Постоянная группа,Группа,Кол-во студентов,""Доля в постоянной группе, %"""
ТТП-2024-12,ТТП-212,6,24.0
ТТП-2024-12,ТТП-312,19,76.0
ТТП-2025-11,ТТП-111,2,6.9
ТТП-2025-11,ТТП-211,27,93.1
ТТП-2025-12,ТТП-112,1,4.8
ТТП-2025-12,ТТП-212,20,95.2
ТУУ-2023-11,ТУУ-211,1,6.2
ТУУ-2023-11,ТУУ-311,1,6.2
ТУУ-2023-11,ТУУ-411,14,87.5
ТУУ-2024-11,ТУУ-211,2,33.3
ТУУ-2024-11,ТУУ-311,4,66.7
ТЭЛу-2025-21,ТЭЛу-121,5,21.7
ТЭЛу-2025-21,ТЭЛу-221,18,78.3
ТЭЛу-2025-22,ТЭЛу-122,5,20.8
ТЭЛу-2025-22,ТЭЛу-222,19,79.2
УВВ-2023-11,УВВ-311,2,11.8
УВВ-2023-11,УВВ-411,15,88.2
УВВ-2025-11,УВВ-111,1,3.3
УВВ-2025-11,УВВ-211,29,96.7
УВП-2023-11,УВП-311,2,7.1
УВП-2023-11,УВП-411,26,92.9
УВП-2023-12,УВП-212,1,3.7
УВП-2023-12,УВП-412,26,96.3
УЗС-2025-11,УЗС-111,6,24.0
УЗС-2025-11,УЗС-211,19,76.0
УЗТ-2025-11,УЗТ-111,4,16.0
УЗТ-2025-11,УЗТ-211,21,84.0
УИБ-2022-11,УИБ-311,2,66.7
УИБ-2022-11,УИБ-411,1,33.3
УИБ-2023-11,УИБ-311,1,3.6
УИБ-2023-11,УИБ-411,27,96.4
УИБ-2024-12,УИБ-212,1,6.2
УИБ-2024-12,УИБ-312,15,93.8
УИБ-2025-11,УИБ-111,2,8.0
УИБ-2025-11,УИБ-211,23,92.0
УИК-2025-11,УИК-111,2,9.5
УИК-2025-11,УИК-211,19,90.5
УИС-2024-11,УИС-211,2,6.5
УИС-2024-11,УИС-311,29,93.5
УИТ-2024-11,УИТ-211,1,3.2
УИТ-2024-11,УИТ-311,30,96.8
УИТ-2025-11,УИТ-111,1,3.3
УИТ-2025-11,УИТ-211,29,96.7
УМБ-2025-11,УМБ-111,1,4.5
УМБ-2025-11,УМБ-211,21,95.5
УМЛ-2024-11,УМЛ-211,1,4.3
УМЛ-2024-11,УМЛ-311,22,95.7
УМН-2023-11,УМН-311,1,2.9
УМН-2023-11,УМН-411,33,97.1
УТА-2025-11,УТА-111,1,3.6
УТА-2025-11,УТА-211,27,96.4
УТИ-2023-11,УИТ-311,1,4.8
УТИ-2023-11,УИТ-411,20,95.2
УТН-2023-11,УТН-311,2,8.0
УТН-2023-11,УТН-411,23,92.0
УТН-2025-11,УТН-111,1,3.2
УТН-2025-11,УТН-211,30,96.8
УТЦ-2023-11,УТЦ-211,1,2.9
УТЦ-2023-11,УТЦ-411,34,97.1
УТЦ-2023-12,УТЦ-312,1,3.1
УТЦ-2023-12,УТЦ-412,31,96.9
УТЦ-2025-11,УТЦ-111,1,3.2
УТЦ-2025-11,УТЦ-211,30,96.8
УТЦ-2025-12,УТЦ-112,2,6.9
УТЦ-2025-12,УТЦ-212,27,93.1
УЭБ-2022-41,УЭБ-441,1,4.3
УЭБ-2022-41,УЭБ-541,22,95.7
УЭБ-2024-41,УЭБ-241,2,7.1
УЭБ-2024-41,УЭБ-341,26,92.9
УЭБ-2025-41,УЭБ-141,5,15.6
УЭБ-2025-41,УЭБ-241,27,84.4
УЭГ-2025-41,УЭГ-141,3,12.0
УЭГ-2025-41,УЭГ-241,22,88.0
УЭЛ-2023-43,УЭЛ-343,1,4.0
УЭЛ-2023-43,УЭЛ-443,24,96.0
УЭЛ-2025-41,УЭЛ-141,2,6.5
УЭЛ-2025-41,УЭЛ-241,29,93.5
УЭЛ-2025-42,УЭЛ-142,4,11.8
УЭЛ-2025-42,УЭЛ-242,30,88.2
УЭМ-2022-42,УЭМ-442,1,3.6
УЭМ-2022-42,УЭМ-542,27,96.4
УЭМ-2022-44,УЭМ-444,1,3.7
УЭМ-2022-44,УЭМ-544,26,96.3
УЭМ-2023-42,УЭМ-342,1,3.8
УЭМ-2023-42,УЭМ-442,25,96.2
УЭМ-2023-44,УЭМ-344,2,7.4
УЭМ-2023-44,УЭМ-444,25,92.6
УЭМ-2024-44,УЭМ-244,3,10.3
УЭМ-2024-44,УЭМ-344,26,89.7
УЭМ-2025-42,УЭМ-142,2,6.5
УЭМ-2025-42,УЭМ-242,29,93.5
УЭМ-2025-43,УЭМ-143,1,3.4
УЭМ-2025-43,УЭМ-243,28,96.6
УЭП-2025-41,УЭП-141,1,3.6
УЭП-2025-41,УЭП-241,27,96.4
УЭЦ-2024-41,УЭЦ-241,2,10.5
УЭЦ-2024-41,УЭЦ-341,17,89.5
УЭЦ-2025-41,УЭЦ-141,2,6.2
УЭЦ-2025-41,УЭЦ-241,30,93.8
ШАДк-2025-11,ШАДк-111,1,6.2
ШАДк-2025-11,ШАДк-211,15,93.8
ШМС-2023-12,ШМС-312,1,5.6
ШМС-2023-12,ШМС-412,17,94.4
ШМС-2024-11,ШМС-111,1,3.1
ШМС-2024-11,ШМС-211,1,3.1
ШМС-2024-11,ШМС-311,30,93.8
ШМС-2025-11,ШМС-111,1,3.2
ШМС-2025-11,ШМС-211,30,96.8
ШМС-2025-12,ШМС-112,3,8.3
ШМС-2025-12,ШМС-212,33,91.7
ШТД-2023-11,ШТД-211,1,4.5
ШТД-2023-11,ШТД-411,21,95.5
ШТД-2025-11,ШТД-111,1,2.9
ШТД-2025-11,ШТД-211,33,97.1
ШТС-2025-11,ШТС-111,1,2.9
ШТС-2025-11,ШТС-211,34,97.1
ШЦТ-2023-11,ШЦТ-311,1,4.3
ШЦТ-2023-11,ШЦТ-411,22,95.7
ШЭТ-2025-11-1,ШЭТ-111,1,2.7
ШЭТ-2025-11-1,ШЭТ-211,36,97.3
ЭБР-2023-12,ЭБР-312,1,3.8
ЭБР-2023-12,ЭБР-412,25,96.2
ЭБР-2024-11,ЭБР-211,2,5.7
ЭБР-2024-11,ЭБР-311,33,94.3
ЭБР-2025-12,ЭБР-112,2,7.7
ЭБР-2025-12,ЭБР-212,24,92.3
ЭБЦ-2023-11,ЭБЦ-311,2,9.5
ЭБЦ-2023-11,ЭБЦ-411,19,90.5
ЭГП-2023-11,ЭГП-311,1,4.3
ЭГП-2023-11,ЭГП-411,22,95.7
ЭГП-2025-11,ЭГП-111,1,4.8
ЭГП-2025-11,ЭГП-211,20,95.2
ЭГС-2023-11,ЭГС-211,1,3.0
ЭГС-2023-11,ЭГС-411,32,97.0
ЭГС-2024-11,ЭГС-211,1,3.6
ЭГС-2024-11,ЭГС-311,27,96.4
ЭГУ-2024-11,ЭГУ-211,1,6.7
ЭГУ-2024-11,ЭГУ-311,14,93.3
ЭЛМ-2024-11,ЭЛМ-111,1,4.5
ЭЛМ-2024-11,ЭЛМ-311,21,95.5
ЭЛМ-2025-11,ЭЛМ-111,1,5.6
ЭЛМ-2025-11,ЭЛМ-211,17,94.4
ЭПИ-2023-12,ЭПИ-312,1,3.1
ЭПИ-2023-12,ЭПИ-412,31,96.9
ЭПИ-2024-12,ЭПИ-212,2,6.9
ЭПИ-2024-12,ЭПИ-312,27,93.1
ЭПИ-2025-11,ЭПИ-111,1,3.1
ЭПИ-2025-11,ЭПИ-211,31,96.9
ЭПИ-2025-12,ЭПИ-112,2,6.7
ЭПИ-2025-12,ЭПИ-212,28,93.3
ЭУЦ-2024-11,ЭУЦ-211,1,3.2
ЭУЦ-2024-11,ЭУЦ-311,30,96.8
ЭУЦ-2025-11,ЭУЦ-111,1,4.5
ЭУЦ-2025-11,ЭУЦ-211,21,95.5
ЭЭЛ-2024-11,ЭЭЛ-211,1,5.0
ЭЭЛ-2024-11,ЭЭЛ-311,19,95.0
ЭЭС-2023-11,ЭЭС-311,1,5.9
ЭЭС-2023-11,ЭЭС-411,16,94.1
ЭЭС-2025-11,ЭЭС-111,4,13.8
ЭЭС-2025-11,ЭЭС-211,25,86.2
ЭЭУ-2023-11,ЭЭУ-311,1,3.4
ЭЭУ-2023-11,ЭЭУ-411,28,96.6
ЭЭУ-2025-11,ЭЭУ-111,1,3.7
ЭЭУ-2025-11,ЭЭУ-211,26,96.3
ЮПБ-2025-41,ЮПБ-141,1,3.8
ЮПБ-2025-41,ЮПБ-241,25,96.2
ЮПБ-2025-42,ЮПБ-142,2,8.7
ЮПБ-2025-42,ЮПБ-242,21,91.3
ЮСИ-2023-41,ЮСИ-341,2,6.7
ЮСИ-2023-41,ЮСИ-441,28,93.3
ЮТЛ-2021-51,ЮТЛ-551,1,16.7
ЮТЛ-2021-51,ЮТЛ-651,5,83.3
ЮТМ-2024-42,ЮТМ-242,1,3.8
ЮТМ-2024-42,ЮТМ-342,25,96.2
ЮТТ-2024-41,ЮТТ-241,2,11.8
ЮТТ-2024-41,ЮТТ-341,15,88.2
ЮЮГ-2023-13,ЮЮГ-313,1,3.8
ЮЮГ-2023-13,ЮЮГ-413,25,96.2
ЮЮГ-2024-13,ЮЮГ-213,1,7.7
ЮЮГ-2024-13,ЮЮГ-313,12,92.3
ЮЮГ-2024-21,ЮЮГ-221,1,6.7
ЮЮГ-2024-21,ЮЮГ-321,14,93.3
ЮЮГ-2025-21,ЮЮГ-121,3,15.8
ЮЮГ-2025-21,ЮЮГ-221,16,84.2
ЮЮГу-2024-21,ЮЮГу-221,1,11.1
ЮЮГу-2024-21,ЮЮГу-321,8,88.9
ЮЮГу-2025-11,ЮЮГу-111,2,16.7
ЮЮГу-2025-11,ЮЮГу-211,10,83.3
ЮЮУ-2025-11,ЮЮУ-111,1,7.7
ЮЮУ-2025-11,ЮЮУ-211,12,92.3
ЮЮЦ-2025-21,ЮЮЦ-121,1,8.3
ЮЮЦ-2025-21,ЮЮЦ-221,11,91.7
