Постоянная группа,Группа,Кол-во студентов,"Доля в постоянной группе, %"
ТМХ-2024-11,ТМХ-211,1,5.6
ТМХ-2024-11,ТМХ-311,17,94.4
ТНД-2022-41,ТНД-441,1,10.0
ТНД-2022-41,ТНД-541,9,90.0
ТНД-2023-41,ТНД-341,1,5.6
ТНД-2023-41,ТНД-441,17,94.4
ТНД-2024-41,ТНД-341,34,100.0
ТНД-2025-41,ТНД-241,26,100.0
ТПВ-2024-51,ТПВ-351,7,100.0
ТПВг-2022-41,ТПВг-441,1,6.2
ТПВг-2022-41,ТПВг-541,15,93.8
ТПВг-2023-41,ТПВг-341,1,3.8
ТПВг-2023-41,ТПВг-441,25,96.2
ТПВг-2024-41,ТПВг-241,7,29.2
ТПВг-2024-41,ТПВг-341,17,70.8
ТПВг-2025-41,ТПВг-241,15,100.0
ТПВп-2021-41,ТПВп-541,3,100.0
ТПВп-2022-41,ТПВп-541,11,100.0
ТПВп-2023-41,ТПВп-441,16,100.0
ТПВп-2024-41,ТПВп-341,18,100.0
ТПВп-2025-41,ТПВп-141,2,7.7
ТПВп-2025-41,ТПВп-241,24,92.3
ТПЛ-2022-41,ТПЛ-441,1,3.4
ТПЛ-2022-41,ТПЛ-541,28,96.6
ТПЛ-2023-41,ТПЛ-341,2,9.1
ТПЛ-2023-41,ТПЛ-441,20,90.9
ТПЛ-2024-41,ТПЛ-241,1,4.5
ТПЛ-2024-41,ТПЛ-341,21,95.5
ТПЛ-2025-41,ТПЛ-141,4,11.8
ТПЛ-2025-41,ТПЛ-241,30,88.2
ТПР-2022-41,ТПР-541,9,100.0
ТПР-2023-41,ТПР-441,7,100.0
ТПР-2024-41,ТПР-241,2,11.8
ТПР-2024-41,ТПР-341,15,88.2
ТПР-2025-41,ТПР-141,4,16.0
ТПР-2025-41,ТПР-241,21,84.0
ТПСу-2021-51,ТПСу-551,1,7.1
ТПСу-2021-51,ТПСу-651,13,92.9
ТПСу-2022-51,ТПСу-551,20,100.0
ТПСу-2023-51,ТПСу-351,1,4.0
ТПСу-2023-51,ТПСу-451,24,96.0
ТПСу-2024-51,ТПСу-351,34,100.0
ТПСу-2025-51,ТПСу-151,6,20.0
ТПСу-2025-51,ТПСу-251,24,80.0
ТПСу-2025-52,ТПСу-152,4,80.0
